"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ADCY2",3.31473178370465e-170,0.66157082694448,0.806,0.605,6.62946356740929e-167,"2","ADCY2"
"LRRC7",8.33684040307508e-170,0.555816264737021,0.731,0.582,1.66736808061502e-166,"2","LRRC7"
"NUAK1",5.96430996214661e-169,0.612689844786,0.861,0.744,1.19286199242932e-165,"2","NUAK1"
"ANXA1",1.69539976290008e-168,0.326893101283233,0.678,0.686,3.39079952580017e-165,"2","ANXA1"
"FAM160A1",4.18167563469175e-167,0.555967907608123,0.664,0.544,8.3633512693835e-164,"2","FAM160A1"
"PLCB1",1.37572308063655e-165,0.442542995894181,0.963,0.917,2.7514461612731e-162,"2","PLCB1"
"PTCHD1-AS",1.140107884105e-162,0.479543835338899,0.727,0.608,2.28021576821e-159,"2","PTCHD1-AS"
"WDR49",3.06151044852572e-162,0.540186920817435,0.786,0.755,6.12302089705143e-159,"2","WDR49"
"AC008014.1",7.68309625866902e-150,0.674649633568925,0.76,0.607,1.5366192517338e-146,"2","AC008014.1"
"FRAS1",1.14067861647992e-149,0.484555872495194,0.968,0.9,2.28135723295983e-146,"2","FRAS1"
"DSP",5.50926838724688e-149,0.367502507336246,0.741,0.701,1.10185367744938e-145,"2","DSP"
"JAZF1",3.87613277383653e-148,0.574451480271623,0.854,0.714,7.75226554767306e-145,"2","JAZF1"
"MAGI2",1.28788385067436e-146,0.439329174035339,0.96,0.932,2.57576770134871e-143,"2","MAGI2"
"FBN1",2.1636084849559e-145,0.450894119749875,0.751,0.607,4.3272169699118e-142,"2","FBN1"
"MCTP1",3.40642383996956e-142,0.66773815318846,0.685,0.54,6.81284767993912e-139,"2","MCTP1"
"ARHGEF4",5.77475904687263e-142,0.391097762591931,0.895,0.877,1.15495180937453e-138,"2","ARHGEF4"
"PLPP3",1.27511257563935e-141,0.493240112330741,0.848,0.722,2.5502251512787e-138,"2","PLPP3"
"TANC1",1.56774904331908e-137,0.423813817670427,0.79,0.657,3.13549808663816e-134,"2","TANC1"
